ID,Season,City,Date,Team 1,Team 2,Toss Winner,Toss decision,Result,dl_applied,Winner,win_by_runs,win_by_wickets,
81,5,Rawalpindi,29-02-2020,Peshawar Zalmi,Islamabad United,NA,NA,NA,0,NA,0,0,
82,5,Rawalpindi,1/3/2020,Karachi Kings,Islamabad United,Karachi Kings,Field,normal,0,Karachi Kings,0,5,
83,5,Rawalpindi,2/3/2020,Karachi Kings,Peshawar Zalmi,Karachi Kings,Field,normal,0,Karachi Kings,0,6,
84,5,Lahore,3/3/2020,Lahore Qalander,Quetta Gladiators,Quetta Gladiators,Field,normal,0,Lahore Qalander,37,0,
85,5,Lahore,4/3/2020,Lahore Qalander,Islamabad United,Lahore Qalander,Field,normal,0,Islamabad United,71,0,
86,5,Rawalpindi,5/3/2020,Quetta Gladiators,Peshawar Zalmi,Quetta Gladiators,Field,normal,0,Peshawar Zalmi,30,0,
87,5,Lahore,6/3/2020,Multan Sultan,Karachi Kings,Karachi Kings,Field,NA,0,NA,0,0,
88,5,Rawalpindi,7/3/2020,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,Field,normal,1,Peshawar Zalmi,7,0,
89,5,Lahore,7/3/2020,Quetta Gladiators,Lahore Qalander,Lahore Qalander,Field,normal,0,Lahore Qalander,0,8,
90,5,Rawalpindi,8/3/2020,Islamabad United,Multan Sultan,Multan Sultan,Field,normal,0,Multan Sultan,0,9,
91,5,Lahore,8/3/2020,Lahore Qalander,Karachi Kings,Lahore Qalander,Field,normal,0,Lahore Qalander,0,8,
92,5,Lahore,10/3/2020,Peshawar Zalmi,Lahore Qalander,Lahore Qalander,Field,normal,0,Lahore Qalander,0,5,
93,5,Lahore,25-03-2020,Multan Sultan,Quetta Gladiators,NA,NA,NA,0,NA,0,0,
94,5,Karachi,12/3/2020,Lahore Qalander,Karachi Kings,Karachi Kings,Field,normal,0,Karachi Kings,0,10,
95,5,Karachi,13-03-2020,Multan Sultan,Peshawar Zalmi,Peshawar Zalmi,Field,normal,0,Multan Sultan,3,0,
96,5,Karachi,14-03-2020,Islamabad United,Karachi Kings,Karachi Kings,Field,normal,0,Karachi Kings,0,4,
97,5,Lahore,15-03-2020,Lahore Qalander,Multan Sultan,Lahore Qalander,Field,normal,0,Lahore Qalander,0,9,
98,5,Karachi,15-03-2020,Karachi Kings,Quetta Gladiators,Karachi Kings,Bat,normal,0,Quetta Gladiators,0,5,
99,5,Karachi,14-11-2020,Karachi Kings,Multan Sultan,Karachi Kings,Field,normal,0,Karachi Kings,4,0,
100,5,Karachi,14-11-2020,Lahore Qalander,Peshawar Zalmi,Lahore Qalander,Field,normal,0,Lahore Qalander,0,5,
101,5,Karachi,15-11-2020,Lahore Qalander,Multan Sultan,Multan Sultan,Field,normal,0,Lahore Qalander,25,0,
102,5,Karachi,17-11-2020,Lahore Qalander,Karachi Kings,Lahore Qalander,Bat,normal,0,Karachi Kings,0,5,
103,6,Karachi,20-02-2021,Karachi Kings,Quetta Gladiators,Karachi Kings,Field,normal,0,Karachi Kings,0,7,
104,6,Karachi,21-02-2021,Lahore Qalander,Peshawar Zalmi,Lahore Qalander,Field,normal,0,Lahore Qalander,0,4,
105,6,Karachi,21-02-2021,Islamabad United,Multan Sultan,Islamabad United,Field,normal,0,Islamabad United,0,3,
106,6,Karachi,22-02-2021,Lahore Qalander,Quetta Gladiators,Lahore Qalander,Field,normal,0,Lahore Qalander,0,9,
107,6,Karachi,23-02-2021,Peshawar Zalmi,Multan Sultan,Peshawar Zalmi,Field,normal,0,Peshawar Zalmi,0,6,
108,6,Karachi,24-02-2021,Karachi Kings,Islamabad United,Islamabad United,Field,normal,0,Islamabad United,0,5,
109,6,Karachi,26-02-2021,Lahore Qalander,Multan Sultan,Multan Sultan,Field,normal,0,Multan Sultan,0,7,`
110,6,Karachi,26-02-2021,Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,Field,normal,0,Peshawar Zalmi,0,3,
111,6,Karachi,27-02-2021,Multan Sultan,Karachi Kings,Karachi Kings,Field,normal,0,Karachi Kings,0,7,
112,6,Karachi,27-02-2021,Peshawar Zalmi,Islamabad United,Peshawar Zalmi,Field,normal,0,Peshawar Zalmi,0,6,
113,6,Karachi,28-02-2021,Karachi Kings,Lahore Qalander,Lahore Qalander,Field,normal,0,Lahore Qalander,0,6,
114,6,Karachi,2/3/2021,Islamabad United,Quetta Gladiators,Islamabad United,Field,normal,0,Islamabad United,0,6,
115,6,Karachi,3/3/2021,Peshawar Zalmi,Karachi Kings,Karachi Kings,Field,normal,0,Karachi Kings,0,6,
116,6,Karachi,3/3/2021,Quetta Gladiators,Multan Sultan,Multan Sultan,Field,normal,0,Quetta Gladiators,22,0,
117,6,Abu Dhabi,9/6/2021,Lahore Qalander,Islamabad United,Lahore Qalander,Field,normal,0,Lahore Qalander,0,5,
118,6,Abu Dhabi,10/6/2021,Karachi Kings,Multan Sultan,Karachi Kings,Field,normal,0,Multan Sultan,12,0,
